작성자,작성일자,내용,태그,리트윗수,마음수,조회수
연주님,2024-04-15 2:46,캐릭터 디자인이 욱일기 말고도 다른 문양 표절 논란도 있지 않았나?,#욱일기 #우익논란 #귀멸의칼날논란,15,340,2954
탄지로오시,2024-04-02 5:43,다이쇼 시대 배경 자체에서 오는 거부감이 있음. 미화 논란도 있고.,#욱일기 #우익논란,58,280,7276
젠이츠사랑해,2024-03-31 3:10,"正直(솔직히), 오니 중에서 아카자가 제일 서사가 깊고 슬펐음.",#최애캐 #렌고쿠 #젠이츠,84,423,836
토키토무이치로,2024-03-27 16:24,원작 만화 최종국면 편 전개 미쳤다... 숨 참고 보는 중. 애니는 언제 나오려나.,#귀칼스토리 #원작만화,11,377,1160
음주님,2024-03-26 15:13,다이쇼 시대 배경 자체에서 오는 거부감이 있음. 미화 논란도 있고.,#욱일기 #우익논란,4,465,3521
이구로오바나이,2024-03-23 11:03,"스토리 개연성 지적하는 사람들도 많던데, 작화가 너무 좋아서 묻히는 느낌.",#욱일기 #우익논란 #귀멸의칼날논란,85,209,2767
기유는사랑입니다,2024-03-14 23:14,결말이 너무 급하게 끝난 것 같아서 아쉬움. 외전 좀 더 내주세요 작가님.,#귀칼스토리 #원작만화,307,5619,178880
작화분석가,2024-02-23 4:47,우익 논란 있는 작품이라 솔직히 볼 때마다 마음 한구석이 불편함. 작화가 아까울 정도.,#욱일기 #우익논란 #귀멸의칼날논란,93,292,869
탄지로오시,2024-02-19 22:22,"스토리 개연성 지적하는 사람들도 많던데, 작화가 너무 좋아서 묻히는 느낌.",#욱일기 #우익논란 #귀멸의칼날논란,32,437,3034
연주님,2024-01-26 3:58,결말이 너무 급하게 끝난 것 같아서 아쉬움. 외전 좀 더 내주세요 작가님.,#귀칼스토리 #원작만화,16,69,7399
토키토무이치로,2024-01-23 9:58,오니들한테도 각자 슬픈 서사가 있는 게 귀멸의 칼날 최고 매력 포인트.,#귀칼스토리 #원작만화,873,1251,87355
하주님,2023-12-07 15:56,우익 논란 있는 작품이라 솔직히 볼 때마다 마음 한구석이 불편함. 작화가 아까울 정도.,#욱일기 #우익논란,1764,2392,152664
음주님,2023-11-12 4:08,여성 캐릭터를 소비하는 방식이 너무 낡았음. 싸우는 여캐는 좋은데 결국 남자한테 기대는 서사.,#욱일기 #우익논란,81,49,5844
굿즈수집가,2023-11-02 10:31,무한열차 4DX로 보니까 진짜 내가 기차에 탄 것 같았음. N차 관람 필수.,#귀칼굿즈 #무한열차,23,280,2095
이구로오바나이,2023-10-13 6:26,"작품과 논란은 별개로 봐야 한다는 의견도 있지만, 욱일기는 선 넘었지.",#욱일기 #우익논란 #귀멸의칼날논란,37,114,668
연주님,2023-09-22 6:28,"작품과 논란은 별개로 봐야 한다는 의견도 있지만, 욱일기는 선 넘었지.",#욱일기 #우익논란,50,332,7758
귀칼과몰입오타쿠,2023-09-16 17:49,작가의 상상력에 감탄... 호흡법이나 혈귀술 설정이 너무 흥미로워.,#귀칼스토리 #원작만화,81,466,1132
토키토무이치로,2023-09-09 22:13,극장판 특전 받으려고 새벽부터 줄 섰던 기억... 그래도 뿌듯했다.,#귀칼굿즈 #무한열차 #유포카페,28,56,7022
음주님,2023-08-23 20:12,"'귀멸의 칼날: 히노카미 혈풍담' 게임 해봤는데, 스토리 모드 연출은 좋더라.",#귀칼굿즈 #무한열차,431,5040,190377
오니도서사있다,2023-08-23 0:00,3D 연출이 가끔 너무 튀어서 2D 작화랑 따로 노는 느낌이라 거슬림.,#유포터블 #작화 #전투씬,546,5073,98247
물의호흡계승자,2023-08-10 11:13,원작 초월이라는 말이 딱 맞는 애니. 유포터블이 작품을 살렸다.,#유포터블 #작화,42,363,2009
시노부짱팬,2023-08-02 6:15,솔직히 주인공 버프가 너무 심해서 가끔 몰입이 깨질 때가 있음.,#귀칼스토리 #원작만화 #세계관,1435,1652,103486
수주님,2023-08-01 18:03,"작품과 논란은 별개로 봐야 한다는 의견도 있지만, 욱일기는 선 넘었지.",#욱일기 #우익논란 #귀멸의칼날논란,79,486,5607
렌고쿠의의지,2023-07-23 18:38,렌고쿠 쿄쥬로... 당신은 빛 그 자체... 무한열차 다시 보고 오열 중 ㅠㅠ,#최애캐 #렌고쿠,47,443,8713
탄카나존버,2023-06-27 4:18,캐릭터 디자인이 욱일기 말고도 다른 문양 표절 논란도 있지 않았나?,#욱일기 #우익논란 #귀멸의칼날논란,59,384,171
귀칼과몰입오타쿠,2023-06-25 21:54,이번에 나온 제일복권(이치방쿠지) 라인업 미쳤다... 지갑 텅텅 빌 예정.,#귀칼굿즈 #무한열차,98,498,7014
무한열차N차관람,2023-06-13 23:00,결말이 너무 급하게 끝난 것 같아서 아쉬움. 외전 좀 더 내주세요 작가님.,#귀칼스토리 #원작만화 #세계관,1,411,5054
젠이츠사랑해,2023-06-12 19:18,여성 캐릭터를 소비하는 방식이 너무 낡았음. 싸우는 여캐는 좋은데 결국 남자한테 기대는 서사.,#욱일기 #우익논란,63,113,955
원작정주행,2023-05-23 4:22,우익 논란 있는 작품이라 솔직히 볼 때마다 마음 한구석이 불편함. 작화가 아까울 정도.,#욱일기 #우익논란,5,160,402
원작정주행,2023-05-12 22:48,무한열차 4DX로 보니까 진짜 내가 기차에 탄 것 같았음. N차 관람 필수.,#귀칼굿즈 #무한열차 #유포카페,1712,4117,60434
기유는사랑입니다,2023-04-13 2:50,귀칼 오케스트라 콘서트 예매 성공! 라이브로 OST 들을 생각에 두근거림.,#귀칼굿즈 #무한열차,70,466,2875
물의호흡계승자,2023-04-03 20:58,"작품과 논란은 별개로 봐야 한다는 의견도 있지만, 욱일기는 선 넘었지.",#욱일기 #우익논란 #귀멸의칼날논란,1218,5742,86848
토미오카기유,2023-02-26 1:46,우즈이 텐겐님... 화려함의 신... 유곽편은 우즈이를 위한 시즌이었다.,#최애캐 #렌고쿠 #젠이츠,59,37,5995
유포터블의노예,2023-01-29 6:25,"탄지로 귀걸이 문양, 욱일기 연상돼서 진짜 불편함. 수정됐다지만 원작 생각하면 찝찝해.",#욱일기 #우익논란,68,423,9219
굿즈수집가,2023-01-28 23:52,"물의 호흡, 히노카미 카구라 연출 볼 때마다 소름 돋아. 이걸 어떻게 만들었지?",#유포터블 #작화 #전투씬,99,183,4729
렌고쿠의의지,2023-01-06 8:49,무이치로... 도공마을 편에서 기억 찾고 각성하는 거 보고 소름돋음.,#최애캐 #렌고쿠,31,400,4709
코쵸우시노부,2022-12-24 23:05,"작품과 논란은 별개로 봐야 한다는 의견도 있지만, 욱일기는 선 넘었지.",#욱일기 #우익논란 #귀멸의칼날논란,45,118,3540
우즈이텐겐,2022-12-16 11:43,무한열차 4DX로 보니까 진짜 내가 기차에 탄 것 같았음. N차 관람 필수.,#귀칼굿즈 #무한열차 #유포카페,482,5548,127383
기유는사랑입니다,2022-12-15 13:42,"탄지로 귀걸이 문양, 욱일기 연상돼서 진짜 불편함. 수정됐다지만 원작 생각하면 찝찝해.",#욱일기 #우익논란,33,347,6362
하주님,2022-12-14 5:40,"스토리 개연성 지적하는 사람들도 많던데, 작화가 너무 좋아서 묻히는 느낌.",#욱일기 #우익논란,72,112,4920
수주님,2022-12-05 11:29,귀칼 오케스트라 콘서트 예매 성공! 라이브로 OST 들을 생각에 두근거림.,#귀칼굿즈 #무한열차 #유포카페,60,293,3795
무한열차N차관람,2022-11-10 14:17,이번에 나온 제일복권(이치방쿠지) 라인업 미쳤다... 지갑 텅텅 빌 예정.,#귀칼굿즈 #무한열차 #유포카페,1272,4917,176936
탄지로오시,2022-11-06 21:22,우익 논란 있는 작품이라 솔직히 볼 때마다 마음 한구석이 불편함. 작화가 아까울 정도.,#욱일기 #우익논란,72,344,921
하주님,2022-10-30 16:20,재밌게 보다가도 욱일기 논란 생각나면 갑자기 기분 식음. 어쩔 수 없음.,#욱일기 #우익논란,71,326,4341
물의호흡계승자,2022-10-16 1:33,캐릭터 디자인이 욱일기 말고도 다른 문양 표절 논란도 있지 않았나?,#욱일기 #우익논란,39,67,257
물의호흡계승자,2022-10-15 19:25,"스토리 개연성 지적하는 사람들도 많던데, 작화가 너무 좋아서 묻히는 느낌.",#욱일기 #우익논란 #귀멸의칼날논란,73,10,4583
물의호흡계승자,2022-10-04 10:56,"스토리 개연성 지적하는 사람들도 많던데, 작화가 너무 좋아서 묻히는 느낌.",#욱일기 #우익논란 #귀멸의칼날논란,8,464,5520
수주님,2022-09-13 19:58,"'귀멸의 칼날: 히노카미 혈풍담' 게임 해봤는데, 스토리 모드 연출은 좋더라.",#귀칼굿즈 #무한열차 #유포카페,61,470,8708
하주님,2022-09-10 23:58,유포터블 작화는 진짜 전설이다. 환락의 거리 편 전투씬은 극장판인 줄 알았음.,#유포터블 #작화,97,409,704
연주님,2022-08-16 8:12,우즈이 텐겐님... 화려함의 신... 유곽편은 우즈이를 위한 시즌이었다.,#최애캐 #렌고쿠 #젠이츠,70,103,1138
물의호흡계승자,2022-08-08 4:48,"토미오카 기유, 말 없는 캐릭터가 이렇게 매력적일 수 있나? 서사가 너무 슬퍼",#최애캐 #렌고쿠 #젠이츠,71,414,5220
굿즈수집가,2022-08-07 8:42,귀칼은 OST도 완벽함. 전투씬에 LiSA 노래 깔리면 심장이 뛴다.,#유포터블 #작화 #전투씬,76,213,2047
귀칼과몰입오타쿠,2022-07-01 4:11,여성 캐릭터를 소비하는 방식이 너무 낡았음. 싸우는 여캐는 좋은데 결국 남자한테 기대는 서사.,#욱일기 #우익논란 #귀멸의칼날논란,97,298,4141
음주님,2022-06-25 23:28,귀칼은 OST도 완벽함. 전투씬에 LiSA 노래 깔리면 심장이 뛴다.,#유포터블 #작화 #전투씬,70,308,654
기유는사랑입니다,2022-06-24 12:42,유포테이블 카페 콜라보 메뉴 예쁘고 맛있었다! 특전 아크릴도 겟.,#귀칼굿즈 #무한열차,10,383,2268
작화분석가,2022-06-24 10:02,유포터블 작화는 진짜 전설이다. 환락의 거리 편 전투씬은 극장판인 줄 알았음.,#유포터블 #작화,62,493,780
연주님,2022-06-09 3:46,무잔은 최종보스로서의 카리스마가 좀 부족하지 않았나 싶음.,#귀칼스토리 #원작만화 #세계관,42,91,4044
기유는사랑입니다,2022-04-07 9:57,이번에 나온 제일복권(이치방쿠지) 라인업 미쳤다... 지갑 텅텅 빌 예정.,#귀칼굿즈 #무한열차,31,50,532
물의호흡계승자,2022-03-29 1:39,작가의 상상력에 감탄... 호흡법이나 혈귀술 설정이 너무 흥미로워.,#귀칼스토리 #원작만화,87,292,1944
귀칼과몰입오타쿠,2022-02-27 20:10,작가가 역사 인식이 부족한 듯. 작품은 재밌지만 욱일기 논란은 쉴드 불가.,#욱일기 #우익논란,56,184,5961
기유는사랑입니다,2022-02-01 19:23,작가가 역사 인식이 부족한 듯. 작품은 재밌지만 욱일기 논란은 쉴드 불가.,#욱일기 #우익논란 #귀멸의칼날논란,90,63,2281
유포터블의노예,2022-01-26 2:19,캐릭터 디자인이 욱일기 말고도 다른 문양 표절 논란도 있지 않았나?,#욱일기 #우익논란,36,493,8287
하주님,2022-01-16 7:22,가끔 정지컷이나 슬로우모션을 너무 남발하는 경향이 있는 것 같아.,#유포터블 #작화 #전투씬,1620,3606,53322
우즈이텐겐,2022-01-08 23:24,"물의 호흡, 히노카미 카구라 연출 볼 때마다 소름 돋아. 이걸 어떻게 만들었지?",#유포터블 #작화 #전투씬,70,496,6780
렌고쿠의의지,2025-08-05 18:26,"콜라보 굿즈, 제발 랜덤 상품 좀 그만 냈으면 좋겠음. 최애 뽑기 너무 힘들어.",#귀칼굿즈 #무한열차,27,286,1560
시노부짱팬,2025-08-02 19:35,도공마을편 작화도 좋았지만 개인적으론 유곽편의 화려함이 최고였던 듯.,#유포터블 #작화 #전투씬,82,345,2629
하주님,2025-07-14 2:40,작가가 역사 인식이 부족한 듯. 작품은 재밌지만 욱일기 논란은 쉴드 불가.,#욱일기 #우익논란,79,396,7887
시노부짱팬,2025-07-11 13:20,아직도 탄지로 귀걸이 욱일기라고 모르는 사람 많더라. 논란은 알고 소비해야지.,#욱일기 #우익논란 #귀멸의칼날논란,0,133,6020
우즈이텐겐,2025-07-02 17:58,"토미오카 기유, 말 없는 캐릭터가 이렇게 매력적일 수 있나? 서사가 너무 슬퍼",#최애캐 #렌고쿠 #젠이츠,75,67,7468
우즈이텐겐,2025-05-26 16:44,다이쇼 시대 배경 자체에서 오는 거부감이 있음. 미화 논란도 있고.,#욱일기 #우익논란 #귀멸의칼날논란,10,26,4317
수주님,2025-05-14 15:14,"탄지로 귀걸이 문양, 욱일기 연상돼서 진짜 불편함. 수정됐다지만 원작 생각하면 찝찝해.",#욱일기 #우익논란,72,11,1607
토미오카기유,2025-04-06 9:11,"콜라보 굿즈, 제발 랜덤 상품 좀 그만 냈으면 좋겠음. 최애 뽑기 너무 힘들어.",#귀칼굿즈 #무한열차 #유포카페,1796,4337,154643
굿즈수집가,2025-04-03 14:30,"스토리 개연성 지적하는 사람들도 많던데, 작화가 너무 좋아서 묻히는 느낌.",#욱일기 #우익논란,48,168,698
연주님,2025-03-23 10:38,원작 만화 최종국면 편 전개 미쳤다... 숨 참고 보는 중. 애니는 언제 나오려나.,#귀칼스토리 #원작만화 #세계관,58,341,9171
탄카나존버,2025-03-19 16:10,"귀살대 주들, 한 명 한 명 서사가 너무 기구해서 눈물 없인 볼 수 없음.",#귀칼스토리 #원작만화 #세계관,52,158,6302
원작정주행,2025-03-17 14:49,여성 캐릭터를 소비하는 방식이 너무 낡았음. 싸우는 여캐는 좋은데 결국 남자한테 기대는 서사.,#욱일기 #우익논란,95,420,5803
귀칼과몰입오타쿠,2025-03-07 7:30,애니플렉스에서 나온 시노부 1/8 스케일 피규어 퀄리티 대박임.,#귀칼굿즈 #무한열차 #유포카페,11,269,8730
굿즈수집가,2025-02-22 22:58,원작 만화 최종국면 편 전개 미쳤다... 숨 참고 보는 중. 애니는 언제 나오려나.,#귀칼스토리 #원작만화 #세계관,92,297,8355
귀칼과몰입오타쿠,2025-02-14 1:58,팝업스토어 웨이팅은 힘들었지만 한정 굿즈 사서 만족.,#귀칼굿즈 #무한열차 #유포카페,94,382,4143
수주님,2025-02-11 9:13,무잔은 최종보스로서의 카리스마가 좀 부족하지 않았나 싶음.,#귀칼스토리 #원작만화 #세계관,33,374,4674
물의호흡계승자,2025-01-29 20:58,"물의 호흡, 히노카미 카구라 연출 볼 때마다 소름 돋아. 이걸 어떻게 만들었지?",#유포터블 #작화 #전투씬,13,484,8753
물의호흡계승자,2024-12-28 5:40,"正直(솔직히), 오니 중에서 아카자가 제일 서사가 깊고 슬펐음.",#최애캐 #렌고쿠 #젠이츠,9,329,9003
우즈이텐겐,2024-12-11 23:46,"스토리 개연성 지적하는 사람들도 많던데, 작화가 너무 좋아서 묻히는 느낌.",#욱일기 #우익논란,96,367,760
기유는사랑입니다,2024-12-02 13:51,여성 캐릭터를 소비하는 방식이 너무 낡았음. 싸우는 여캐는 좋은데 결국 남자한테 기대는 서사.,#욱일기 #우익논란,947,2968,111964
무한열차N차관람,2024-11-18 13:58,십이귀월 설정 진짜 잘 짰다. 상현과 하현의 격차 보여주는 것도 좋았음.,#귀칼스토리 #원작만화 #세계관,1690,4761,213546
염주님,2024-11-18 1:19,재밌게 보다가도 욱일기 논란 생각나면 갑자기 기분 식음. 어쩔 수 없음.,#욱일기 #우익논란,83,150,6572
음주님,2024-11-09 20:53,작가의 상상력에 감탄... 호흡법이나 혈귀술 설정이 너무 흥미로워.,#귀칼스토리 #원작만화 #세계관,33,293,5212
탄카나존버,2024-11-05 15:43,아직도 탄지로 귀걸이 욱일기라고 모르는 사람 많더라. 논란은 알고 소비해야지.,#욱일기 #우익논란 #귀멸의칼날논란,47,116,2727
기유는사랑입니다,2024-10-28 23:07,무이치로... 도공마을 편에서 기억 찾고 각성하는 거 보고 소름돋음.,#최애캐 #렌고쿠 #젠이츠,5,491,4197
원작정주행,2024-10-26 20:53,"물의 호흡, 히노카미 카구라 연출 볼 때마다 소름 돋아. 이걸 어떻게 만들었지?",#유포터블 #작화 #전투씬,55,34,1050
시노부짱팬,2024-09-16 0:18,우익 논란 있는 작품이라 솔직히 볼 때마다 마음 한구석이 불편함. 작화가 아까울 정도.,#욱일기 #우익논란,56,242,916
젠이츠사랑해,2024-09-06 2:27,캐릭터 디자인이 욱일기 말고도 다른 문양 표절 논란도 있지 않았나?,#욱일기 #우익논란 #귀멸의칼날논란,75,97,4944
토키토무이치로,2024-07-30 4:41,재밌게 보다가도 욱일기 논란 생각나면 갑자기 기분 식음. 어쩔 수 없음.,#욱일기 #우익논란,17,462,2737
렌고쿠의의지,2024-07-21 1:28,우익 논란 있는 작품이라 솔직히 볼 때마다 마음 한구석이 불편함. 작화가 아까울 정도.,#욱일기 #우익논란,70,118,6472
젠이츠사랑해,2024-07-08 19:32,우익 논란 있는 작품이라 솔직히 볼 때마다 마음 한구석이 불편함. 작화가 아까울 정도.,#욱일기 #우익논란,20,244,3131
젠이츠사랑해,2024-07-05 18:40,작가가 역사 인식이 부족한 듯. 작품은 재밌지만 욱일기 논란은 쉴드 불가.,#욱일기 #우익논란 #귀멸의칼날논란,36,227,683
연주님,2024-05-03 9:08,오니들한테도 각자 슬픈 서사가 있는 게 귀멸의 칼날 최고 매력 포인트.,#귀칼스토리 #원작만화,608,4514,167011
오니도서사있다,2024-04-04 8:21,"탄지로 귀걸이 문양, 욱일기 연상돼서 진짜 불편함. 수정됐다지만 원작 생각하면 찝찝해.",#욱일기 #우익논란 #귀멸의칼날논란,802,1191,129205
기유는사랑입니다,2024-02-19 12:02,"탄지로의 끝없는 선함이 답답할 때도 있지만, 그게 이 작품의 주제인 듯.",#귀칼스토리 #원작만화,16,116,796
탄카나존버,2024-01-21 2:24,솔직히 주인공 버프가 너무 심해서 가끔 몰입이 깨질 때가 있음.,#귀칼스토리 #원작만화 #세계관,99,448,3404
기유는사랑입니다,2024-01-09 8:46,우즈이 텐겐님... 화려함의 신... 유곽편은 우즈이를 위한 시즌이었다.,#최애캐 #렌고쿠,73,383,8331
기유는사랑입니다,2023-12-28 4:58,무한열차 4DX로 보니까 진짜 내가 기차에 탄 것 같았음. N차 관람 필수.,#귀칼굿즈 #무한열차 #유포카페,552,5434,184113
수주님,2023-12-21 12:45,애니플렉스에서 나온 시노부 1/8 스케일 피규어 퀄리티 대박임.,#귀칼굿즈 #무한열차 #유포카페,15,94,4904
벽력일섬,2023-12-15 12:04,극장판 특전 받으려고 새벽부터 줄 섰던 기억... 그래도 뿌듯했다.,#귀칼굿즈 #무한열차 #유포카페,1178,4700,41724
렌고쿠의의지,2023-12-01 2:05,"콜라보 굿즈, 제발 랜덤 상품 좀 그만 냈으면 좋겠음. 최애 뽑기 너무 힘들어.",#귀칼굿즈 #무한열차,20,425,1750
하주님,2023-11-28 1:50,유포테이블 카페 콜라보 메뉴 예쁘고 맛있었다! 특전 아크릴도 겟.,#귀칼굿즈 #무한열차 #유포카페,1406,2720,191598
연주님,2023-10-24 23:57,다이쇼 시대 배경 자체에서 오는 거부감이 있음. 미화 논란도 있고.,#욱일기 #우익논란,32,162,361
기유는사랑입니다,2023-09-22 17:30,무한열차 4DX로 보니까 진짜 내가 기차에 탄 것 같았음. N차 관람 필수.,#귀칼굿즈 #무한열차,50,436,8394
코쵸우시노부,2023-08-13 8:03,"탄지로 귀걸이 문양, 욱일기 연상돼서 진짜 불편함. 수정됐다지만 원작 생각하면 찝찝해.",#욱일기 #우익논란,35,33,1459
오니도서사있다,2023-08-07 10:46,결말이 너무 급하게 끝난 것 같아서 아쉬움. 외전 좀 더 내주세요 작가님.,#귀칼스토리 #원작만화,8,185,2734
귀칼과몰입오타쿠,2023-08-01 13:52,십이귀월 설정 진짜 잘 짰다. 상현과 하현의 격차 보여주는 것도 좋았음.,#귀칼스토리 #원작만화,20,417,9259
작화분석가,2023-07-25 10:58,아직도 탄지로 귀걸이 욱일기라고 모르는 사람 많더라. 논란은 알고 소비해야지.,#욱일기 #우익논란 #귀멸의칼날논란,974,2721,162515
토미오카기유,2023-07-05 5:22,아직도 탄지로 귀걸이 욱일기라고 모르는 사람 많더라. 논란은 알고 소비해야지.,#욱일기 #우익논란,75,321,2555
토키토무이치로,2023-06-13 17:10,무잔은 최종보스로서의 카리스마가 좀 부족하지 않았나 싶음.,#귀칼스토리 #원작만화,629,2593,26052
기유는사랑입니다,2023-05-08 15:04,오니들한테도 각자 슬픈 서사가 있는 게 귀멸의 칼날 최고 매력 포인트.,#귀칼스토리 #원작만화,1243,3651,138595
원작정주행,2023-05-02 1:13,"탄지로 귀걸이 문양, 욱일기 연상돼서 진짜 불편함. 수정됐다지만 원작 생각하면 찝찝해.",#욱일기 #우익논란 #귀멸의칼날논란,56,50,6949
우즈이텐겐,2023-04-20 2:59,오니들한테도 각자 슬픈 서사가 있는 게 귀멸의 칼날 최고 매력 포인트.,#귀칼스토리 #원작만화,27,30,339
탄지로오시,2023-04-07 7:03,"탄지로 귀걸이 문양, 욱일기 연상돼서 진짜 불편함. 수정됐다지만 원작 생각하면 찝찝해.",#욱일기 #우익논란 #귀멸의칼날논란,36,280,127
이구로오바나이,2023-04-01 18:39,렌고쿠 피규어 가격 너무 비싸다... 플미까지 붙어서 살 수가 없어.,#귀칼굿즈 #무한열차 #유포카페,85,90,2262
