작성자,작성일자,내용,태그,리트윗수,마음수,조회수
수집광,2025-03-29 4:07,가나디 표정 하나하나가 밈이 되는 마법... 듀아아아,#듀아아아,32,93,4168
힐링캐릭터,2025-03-18 7:53,스파오 가나디 콜라보 후드 입고 있는데 사람들 시선집중 기분 좋아,#CU콜라보,6,87,2224
가나디팬,2025-03-17 20:24,팝업 MD 포토프레임 샀는데 SNS에 올렸더니 다들 어디서 샀냐고 난리,#가나디팝업,45,189,2741
캐릭터매니아,2025-03-15 21:31,스파오 가나디 콜라보 후드 입고 있는데 사람들 시선집중 기분 좋아,#CU콜라보,2,61,1187
굿즈리뷰어,2025-03-14 13:14,엄마가 새벽부터 웨이팅 해주신 덕분에 가나디 굿즈 겟! 감동 ㅠㅠ,#가나디팝업,47,29,2139
디자인평론가,2025-03-14 13:00,가나디 굿즈로 룸투어 찍었더니 반응 완전 뜨거워 인증샷 맛집,#가나디일상,34,47,758
가나디팬,2025-03-12 3:41,가나디 포토프레임으로 셀카 찍으니까 10배 더 귀여워 보여 ㅋㅋ,#가나디일상 #룸투어,9,136,3883
캐릭터분석가,2025-03-06 11:29,팝업 한정 굿즈들 퀄리티 장난 아니더라 역시 오프라인이 짱,#가나디팝업 #더현대서울,32,12,3803
토끼덕후,2025-02-27 19:39,가나디 굿즈 인증샷 찍었는데 어떤 각도가 제일 예쁜 것 같나요?,#가나디팬아트 #굿즈인증,13,196,4197
일상트윗,2025-02-27 11:58,CU 가나디 바나나우유 뒷뚜껑 키링 대박... 이거 완전 소장각이야! 🥛,#CU콜라보 #스파오가나디,7,40,457
수집광,2025-02-23 2:48,가나디 덕후들끼리 오프라인 모임 하면 어떨까 생각중,#가나디팬아트 #굿즈인증,39,98,4598
무해덕후,2025-02-22 23:37,CU 가서 가나디 콜라보 제품만 찾게 되는 건 나뿐인가 ㅋㅋ,#CU콜라보 #스파오가나디,29,133,591
가나디러버,2025-02-22 12:31,CU 알바생이 가나디 팬이라며 신상품 정보 알려줬어 고마워~,#CU콜라보,9,56,552
굿즈평가단,2025-02-15 4:20,CU 알바생이 가나디 팬이라며 신상품 정보 알려줬어 고마워~,#CU콜라보 #스파오가나디,15,37,4404
토끼사랑,2025-02-14 18:43,가나디 포토프레임으로 셀카 찍으니까 10배 더 귀여워 보여 ㅋㅋ,#가나디일상,5,39,1961
문화관찰자,2025-02-14 6:17,외국 친구한테 가나디 소개했더니 완전 빠져버렸어 한류 아닌가?,#가나디팬아트,45,19,3728
굿즈중독자,2025-02-11 23:39,듀듀 오늘 하루도 가나디 보면서 행복하게 보내자~,#듀아아아 #가나디밈,23,157,4373
힐링캐릭터,2025-02-09 2:48,가나디 관련 해시태그 트렌드 보는 재미가 쏠쏠해,#가나디팬아트,177,1783,19841
듀덕후,2025-02-02 8:07,가나디의 '듀아아아아'에 완전히 빠져버렸어 중독성 쩔어,#듀아아아 #가나디밈,9,7,775
트렌드워처,2025-01-29 1:29,듀~ 가나디만큼 무해하고 귀여운 캐릭터가 또 있을까,#듀아아아 #가나디밈,21,30,2016
소비자리뷰,2025-01-27 23:24,CU 가서 가나디 콜라보 제품만 찾게 되는 건 나뿐인가 ㅋㅋ,#CU콜라보 #스파오가나디,30,12,4695
굿즈리뷰어,2025-01-27 12:43,가나디 덕후들끼리 오프라인 모임 하면 어떨까 생각중,#가나디팬아트,1,78,281
팝업스토리,2025-01-19 10:25,팝업 한정 굿즈들 퀄리티 장난 아니더라 역시 오프라인이 짱,#가나디팝업 #더현대서울,20,84,2496
굿즈중독자,2025-01-15 5:23,회사 책상에 가나디 피규어 올려놨더니 동료들이 다 귀엽다고 난리,#가나디일상 #룸투어,209,1414,40415
소비자리뷰,2025-01-07 22:13,가나디 체험존 게임 너무 재밌었어 아이디어 정말 참신함,#가나디팝업 #더현대서울,10,3,1891
가나디러버,2025-01-07 3:37,가나디 병뚜껑 굿즈 아이디어 진짜 참신해 이런 걸 어떻게 생각해내지,#CU콜라보 #스파오가나디,36,69,1339
캐릭터덕후,2025-01-07 2:03,가나디 체험존 게임 너무 재밌었어 아이디어 정말 참신함,#가나디팝업,44,47,1789
토끼사랑,2025-01-04 14:15,콜라보 제품 나올 때마다 지갑이 얇아져... 가나디의 마법인가 💸,#CU콜라보,5,56,2476
힐링캐릭터,2025-01-02 12:25,팝업 한정 굿즈들 퀄리티 장난 아니더라 역시 오프라인이 짱,#가나디팝업,47,13,3437
무해덕후,2024-12-28 13:46,CU 가나디 바나나우유 뒷뚜껑 키링 대박... 이거 완전 소장각이야! 🥛,#CU콜라보,17,70,3196
굿즈중독자,2024-12-24 11:15,가나디 2차 창작물들 퀄리티 대박... 팬들 실력이 이 정도라니,#가나디팬아트 #굿즈인증,177,535,18675
트렌드워처,2024-12-18 18:30,가나디 덕후들끼리 오프라인 모임 하면 어떨까 생각중,#가나디팬아트,21,138,3520
굿즈평가단,2024-12-16 5:44,듀! 스트레스 받았을 때 가나디만 봐도 다 사라져,#듀아아아,28,99,2377
굿즈리뷰어,2024-12-13 9:10,CU 알바생이 가나디 팬이라며 신상품 정보 알려줬어 고마워~,#CU콜라보,0,58,4427
가나디팬,2024-12-08 3:49,가나디 바나나우유 맛도 좋고 패키지도 귀여워서 일석이조,#CU콜라보,6,184,5050
트렌드워처,2024-12-06 10:14,카톡 이모티콘으로 가나디만 쓰는데 친구들도 따라서 쓰기 시작함,#가나디일상,20,98,1322
일상트윗,2024-12-06 8:55,더현대서울 가나디 쿠킹클래스 팝업 대박이었어! 체험존 완전 굿 ✨,#가나디팝업 #더현대서울,42,32,1849
토끼덕후,2024-12-02 5:26,듀듀듀 이 세상 모든 귀여움을 가나디가 독차지했어,#듀아아아,23,88,2029
강아지덕후,2024-11-29 9:18,팝업스토어 직원분이 가나디 목소리로 인사해주셔서 귀여웠어 ㅋㅋ,#가나디팝업 #더현대서울,23,94,4332
토끼덕후,2024-11-27 12:31,CU 가서 가나디 콜라보 제품만 찾게 되는 건 나뿐인가 ㅋㅋ,#CU콜라보 #스파오가나디,22,189,1698
팝업스토리,2024-11-24 22:18,가나디 병뚜껑 굿즈 아이디어 진짜 참신해 이런 걸 어떻게 생각해내지,#CU콜라보 #스파오가나디,4,70,2371
문화관찰자,2024-11-23 16:29,가나디 팝업스토어 포토존에서 찍은 사진들 인스타 반응 폭발적,#가나디팝업,24,131,4716
팝업스토리,2024-11-22 20:32,가나디 망고드링크 드디어 출시! 자몽이랑 같이 사서 마셔봐야지,#CU콜라보,32,185,636
힐링캐릭터,2024-11-18 8:06,가나디 병뚜껑 굿즈 아이디어 진짜 참신해 이런 걸 어떻게 생각해내지,#CU콜라보 #스파오가나디,502,1822,15407
캐릭터매니아,2024-11-17 7:03,가나디 보고 있으면 마음이 포근포근해져... 듀아아 💤,#듀아아아 #가나디밈,9,11,616
토끼러버_2024,2024-11-15 8:12,성수 마플샵 성냥팔이 가나디 테마 너무 감성적이었어 크리스마스 무드 완벽,#가나디팝업,20,42,5045
토끼러버_2024,2024-11-13 23:17,가나디 체험존 게임 너무 재밌었어 아이디어 정말 참신함,#가나디팝업 #더현대서울,17,161,4244
굿즈수집가,2024-11-10 18:17,스파오 콜라보 의류 퀄리티 괜찮네 가격대비 만족스러워,#CU콜라보 #스파오가나디,16,18,4375
굿즈수집가,2024-11-02 9:53,가나디 ASMR 영상까지 있더라 정말 못하는 게 없네 ㅋㅋ,#가나디팬아트 #굿즈인증,24,164,1204
토끼러버_2024,2025-09-01 7:26,CU 알바생이 가나디 팬이라며 신상품 정보 알려줬어 고마워~,#CU콜라보 #스파오가나디,29,128,3024
듀덕후,2025-08-26 5:57,가나디 키링 가방에 달고 다니는데 어딜 가나 눈에 띄네,#가나디일상,16,184,858
토끼러버_2024,2025-08-25 10:35,더현대서울 가나디 쿠킹클래스 팝업 대박이었어! 체험존 완전 굿 ✨,#가나디팝업 #더현대서울,35,15,1632
팝업투어,2025-08-25 6:59,듀아아아아~ 너무 귀여워서 웃음이 멈추지 않아 💕,#듀아아아,27,79,1573
캐릭터덕후,2025-08-23 22:49,CU 알바생이 가나디 팬이라며 신상품 정보 알려줬어 고마워~,#CU콜라보,12,121,980
팝업투어,2025-08-20 13:04,CU 알바생이 가나디 팬이라며 신상품 정보 알려줬어 고마워~,#CU콜라보 #스파오가나디,23,93,896
팝업스토리,2025-08-15 13:47,팝업 한정 굿즈들 퀄리티 장난 아니더라 역시 오프라인이 짱,#가나디팝업,5,133,3968
토끼덕후,2025-08-15 7:22,가나디 바나나우유 맛도 좋고 패키지도 귀여워서 일석이조,#CU콜라보 #스파오가나디,20,146,1141
굿즈평가단,2025-08-11 12:34,스파오 가나디 콜라보 후드 입고 있는데 사람들 시선집중 기분 좋아,#CU콜라보,21,26,942
일상트윗,2025-08-01 11:54,팝업 MD 포토프레임 샀는데 SNS에 올렸더니 다들 어디서 샀냐고 난리,#가나디팝업,8,80,3520
듀덕후,2025-07-25 0:59,가나디의 '듀아아아아'에 완전히 빠져버렸어 중독성 쩔어,#듀아아아 #가나디밈,47,79,929
굿즈수집가,2025-07-24 8:51,더현대서울 가나디 쿠킹클래스 팝업 대박이었어! 체험존 완전 굿 ✨,#가나디팝업 #더현대서울,15,92,4240
팝업스토리,2025-07-21 16:14,가나디 ASMR 영상까지 있더라 정말 못하는 게 없네 ㅋㅋ,#가나디팬아트 #굿즈인증,40,26,1008
힐링캐릭터,2025-07-16 20:35,듀! 스트레스 받았을 때 가나디만 봐도 다 사라져,#듀아아아 #가나디밈,5,72,3940
힐링캐릭터,2025-07-16 7:38,스파오 콜라보 의류 퀄리티 괜찮네 가격대비 만족스러워,#CU콜라보,233,1307,54826
캐릭터분석가,2025-07-07 2:35,가나디 팝업 음향까지 신경쓴 게 느껴져서 몰입감 최고였어,#가나디팝업 #더현대서울,6,199,4837
토끼러버_2024,2025-07-01 13:14,가나디 바나나우유 맛도 좋고 패키지도 귀여워서 일석이조,#CU콜라보 #스파오가나디,9,48,5099
일상트윗,2025-06-27 13:49,가나디 ASMR 영상까지 있더라 정말 못하는 게 없네 ㅋㅋ,#가나디팬아트 #굿즈인증,245,1891,31551
굿즈리뷰어,2025-06-16 2:19,팬 사이에서 가나디 굿즈 교환하는 문화 생긴 것 같아 훈훈해,#가나디팬아트 #굿즈인증,5,19,1617
팝업스토리,2025-06-11 21:01,가나디 바나나우유 맛도 좋고 패키지도 귀여워서 일석이조,#CU콜라보,46,165,2055
캐릭터매니아,2025-06-10 22:04,가나디 챌린지 동참! 다들 창의적이어서 보는 재미가 있어,#가나디팬아트,33,148,4603
강아지덕후,2025-06-10 7:19,팝업스토어 직원분이 가나디 목소리로 인사해주셔서 귀여웠어 ㅋㅋ,#가나디팝업,20,3,2316
굿즈수집가,2025-05-24 0:17,팝업 MD 포토프레임 샀는데 SNS에 올렸더니 다들 어디서 샀냐고 난리,#가나디팝업 #더현대서울,37,4,4955
힐링캐릭터,2025-05-22 14:24,가나디 포토프레임으로 셀카 찍으니까 10배 더 귀여워 보여 ㅋㅋ,#가나디일상,200,1185,28776
토끼사랑,2025-05-15 8:16,스티커 노트북에 붙였더니 공강 시간에 보는 재미가 쏠쏠,#가나디일상,49,123,3059
캐릭터분석가,2025-05-15 4:52,오늘도 가나디 덕분에 힐링 듀~ 🌸,#듀아아아 #가나디밈,22,88,4642
토끼러버_2024,2025-05-11 22:50,듀듀 오늘 하루도 가나디 보면서 행복하게 보내자~,#듀아아아 #가나디밈,47,52,295
디자인평론가,2025-05-07 6:45,팝업스토어 직원분이 가나디 목소리로 인사해주셔서 귀여웠어 ㅋㅋ,#가나디팝업 #더현대서울,35,196,2972
문화관찰자,2025-05-05 7:09,가나디 굿즈 덕분에 일상이 더 밝아진 느낌 소소한 행복이야,#가나디일상 #룸투어,13,173,2323
팝업헌터,2025-04-28 21:23,엄마가 새벽부터 웨이팅 해주신 덕분에 가나디 굿즈 겟! 감동 ㅠㅠ,#가나디팝업 #더현대서울,15,80,3589
굿즈평가단,2025-04-28 9:38,가나디 바나나우유 맛도 좋고 패키지도 귀여워서 일석이조,#CU콜라보,20,10,4493
강아지덕후,2025-04-20 3:16,카톡 이모티콘으로 가나디만 쓰는데 친구들도 따라서 쓰기 시작함,#가나디일상,39,138,4792
캐릭터덕후,2025-04-18 9:46,CU 가서 가나디 콜라보 제품만 찾게 되는 건 나뿐인가 ㅋㅋ,#CU콜라보,116,1969,42960
굿즈리뷰어,2025-04-17 11:32,가나디 팝업 웨이팅 3시간 했지만 들어가니까 완전 별세계였어,#가나디팝업,48,116,4652
캐릭터덕후,2025-04-16 9:41,가나디 관련 해시태그 트렌드 보는 재미가 쏠쏠해,#가나디팬아트 #굿즈인증,7,186,3770
캐릭터분석가,2025-04-15 21:10,듀아아아아~ 너무 귀여워서 웃음이 멈추지 않아 💕,#듀아아아 #가나디밈,41,174,3999
굿즈리뷰어,2025-04-11 21:01,팝업스토어 직원분이 가나디 목소리로 인사해주셔서 귀여웠어 ㅋㅋ,#가나디팝업 #더현대서울,12,50,1480
문화관찰자,2025-04-10 11:25,듀! 스트레스 받았을 때 가나디만 봐도 다 사라져,#듀아아아,45,177,3332
굿즈평가단,2025-04-09 4:43,가나디 포토프레임으로 셀카 찍으니까 10배 더 귀여워 보여 ㅋㅋ,#가나디일상 #룸투어,41,6,2585
굿즈리뷰어,2025-04-09 3:16,팝업스토어 직원분이 가나디 목소리로 인사해주셔서 귀여웠어 ㅋㅋ,#가나디팝업,23,63,2086
트렌드워처,2025-04-08 20:05,스파오 콜라보 의류 퀄리티 괜찮네 가격대비 만족스러워,#CU콜라보 #스파오가나디,45,48,1158
무해덕후,2025-04-08 9:31,듀아아아아~ 너무 귀여워서 웃음이 멈추지 않아 💕,#듀아아아,42,71,1554
디자인평론가,2025-04-02 11:16,카톡 이모티콘으로 가나디만 쓰는데 친구들도 따라서 쓰기 시작함,#가나디일상 #룸투어,44,57,3558
팝업투어,2025-03-29 19:09,가나디 챌린지 동참! 다들 창의적이어서 보는 재미가 있어,#가나디팬아트 #굿즈인증,12,68,4672
굿즈리뷰어,2025-03-29 18:11,가나디 머그컵으로 커피 마시니까 맛이 더 달콤해진 기분,#가나디일상,27,51,3555
팝업헌터,2025-03-28 10:48,카카오페이 가나디 송금봉투 처음 써봤는데 벌써 감성 터짐 💰,#CU콜라보,22,93,2006
소비자리뷰,2025-03-24 8:42,가나디 보고 있으면 마음이 포근포근해져... 듀아아 💤,#듀아아아,373,1526,40745
강아지덕후,2025-03-21 5:11,가나디 관련 해시태그 트렌드 보는 재미가 쏠쏠해,#가나디팬아트,19,159,4572
소비자리뷰,2025-03-18 23:25,스파오 콜라보 의류 퀄리티 괜찮네 가격대비 만족스러워,#CU콜라보 #스파오가나디,30,147,3127
트렌드워처,2025-03-12 7:49,팝업 MD 포토프레임 샀는데 SNS에 올렸더니 다들 어디서 샀냐고 난리,#가나디팝업,9,7,4365
강아지덕후,2025-03-09 22:05,스파오 가나디 콜라보 후드 입고 있는데 사람들 시선집중 기분 좋아,#CU콜라보 #스파오가나디,18,147,2864
문화관찰자,2025-03-07 9:29,카카오페이 가나디 송금봉투 처음 써봤는데 벌써 감성 터짐 💰,#CU콜라보,34,195,1104
굿즈평가단,2025-03-06 2:37,성수 마플샵 성냥팔이 가나디 테마 너무 감성적이었어 크리스마스 무드 완벽,#가나디팝업 #더현대서울,41,28,3841
가나디팬,2025-02-25 7:43,듀! 스트레스 받았을 때 가나디만 봐도 다 사라져,#듀아아아,49,170,2253
일상트윗,2025-02-25 7:02,팝업스토어 직원분이 가나디 목소리로 인사해주셔서 귀여웠어 ㅋㅋ,#가나디팝업,16,198,4849
토끼사랑,2025-02-22 16:08,가나디 팝업 웨이팅 3시간 했지만 들어가니까 완전 별세계였어,#가나디팝업,13,63,1025
팝업투어,2025-02-18 4:37,듀듀듀 이 세상 모든 귀여움을 가나디가 독차지했어,#듀아아아 #가나디밈,39,167,3337
토끼사랑,2025-02-18 2:33,오늘 카톡 송금할 때 가나디 봉투 뜨자마자 기분업 완전 일상 힐링템,#가나디일상 #룸투어,15,85,1615
캐릭터분석가,2025-02-12 8:08,카카오페이 가나디 송금봉투 처음 써봤는데 벌써 감성 터짐 💰,#CU콜라보,43,116,1421
토끼덕후,2025-02-10 4:08,가나디 체험존 게임 너무 재밌었어 아이디어 정말 참신함,#가나디팝업,24,188,3572
디자인평론가,2025-02-10 3:41,팝업스토어 직원분이 가나디 목소리로 인사해주셔서 귀여웠어 ㅋㅋ,#가나디팝업,47,157,3404
토끼덕후,2025-02-09 21:02,엄마가 새벽부터 웨이팅 해주신 덕분에 가나디 굿즈 겟! 감동 ㅠㅠ,#가나디팝업,42,36,2890
굿즈중독자,2025-02-08 12:46,듀~ 가나디만큼 무해하고 귀여운 캐릭터가 또 있을까,#듀아아아,33,90,2034
캐릭터덕후,2025-02-07 11:03,가나디 병뚜껑 굿즈 아이디어 진짜 참신해 이런 걸 어떻게 생각해내지,#CU콜라보,33,124,662
캐릭터덕후,2025-02-06 14:37,가나디 ASMR 영상까지 있더라 정말 못하는 게 없네 ㅋㅋ,#가나디팬아트,7,68,1518
힐링캐릭터,2025-02-04 6:14,가나디의 '듀아아아아'에 완전히 빠져버렸어 중독성 쩔어,#듀아아아,7,168,851
힐링캐릭터,2025-02-03 11:40,듀! 스트레스 받았을 때 가나디만 봐도 다 사라져,#듀아아아,28,66,2619
캐릭터덕후,2025-02-01 20:03,엄마가 새벽부터 웨이팅 해주신 덕분에 가나디 굿즈 겟! 감동 ㅠㅠ,#가나디팝업 #더현대서울,22,51,1216
무해덕후,2025-01-30 3:39,성수 마플샵 성냥팔이 가나디 테마 너무 감성적이었어 크리스마스 무드 완벽,#가나디팝업,35,127,4331
문화관찰자,2025-01-24 1:55,가나디 체험존 게임 너무 재밌었어 아이디어 정말 참신함,#가나디팝업 #더현대서울,434,583,29322
캐릭터매니아,2025-01-21 7:14,듀! 스트레스 받았을 때 가나디만 봐도 다 사라져,#듀아아아,26,38,1738
강아지덕후,2025-01-18 21:23,스파오 콜라보 의류 퀄리티 괜찮네 가격대비 만족스러워,#CU콜라보 #스파오가나디,6,179,1376
캐릭터분석가,2025-01-17 6:09,오늘도 가나디 덕분에 힐링 듀~ 🌸,#듀아아아 #가나디밈,2,39,2622
무해덕후,2025-01-16 14:43,가나디 망고드링크 드디어 출시! 자몽이랑 같이 사서 마셔봐야지,#CU콜라보,11,116,4208
디자인평론가,2025-01-14 8:10,가나디 바나나우유 맛도 좋고 패키지도 귀여워서 일석이조,#CU콜라보 #스파오가나디,9,102,2875
팝업스토리,2025-01-12 21:07,더현대서울 가나디 쿠킹클래스 팝업 대박이었어! 체험존 완전 굿 ✨,#가나디팝업,12,49,4301
팝업투어,2025-01-10 12:34,가나디 표정 하나하나가 밈이 되는 마법... 듀아아아,#듀아아아,0,177,3506
토끼사랑,2025-01-09 3:08,가나디 팬아트 올렸더니 작가님이 좋아요 눌러주셨어 감격 ㅠㅠ,#가나디팬아트 #굿즈인증,28,200,3309
트렌드워처,2025-01-04 19:06,가나디 ASMR 영상까지 있더라 정말 못하는 게 없네 ㅋㅋ,#가나디팬아트,13,1,4091
강아지덕후,2025-01-02 7:59,가나디 관련 해시태그 트렌드 보는 재미가 쏠쏠해,#가나디팬아트 #굿즈인증,33,185,2402
트렌드워처,2024-12-30 22:02,스파오 콜라보 의류 퀄리티 괜찮네 가격대비 만족스러워,#CU콜라보 #스파오가나디,3,20,4415
팝업헌터,2024-12-26 0:19,가나디 팝업 웨이팅 3시간 했지만 들어가니까 완전 별세계였어,#가나디팝업 #더현대서울,4,40,1947
트렌드워처,2024-12-24 21:19,가나디 팝업 웨이팅 3시간 했지만 들어가니까 완전 별세계였어,#가나디팝업 #더현대서울,35,125,3022
수집광,2024-12-22 10:04,오늘도 가나디 덕분에 힐링 듀~ 🌸,#듀아아아 #가나디밈,279,876,46665
수집광,2024-12-21 13:11,가나디 병뚜껑 굿즈 아이디어 진짜 참신해 이런 걸 어떻게 생각해내지,#CU콜라보 #스파오가나디,26,178,1409
