작성자,작성일자,내용,태그,리트윗수,마음수,조회수
새우깡빌런,2025-08-21 12:50,호랑이 더피... 말 못하는 동물 캐릭터가 이렇게 귀여울 일인가. 더피 굿즈 시급.,#헌트릭스 #사자보이즈,139,30,10669
넷플릭스중독자,2025-08-19 0:54,영화 초반부에 나온 발라드 OST 음원 발매 시급합니다. 멜로디가 머리에서 떠나질 않아.,#K팝데몬헌터스 #OST,126,760,6946
아이돌덕후,2025-08-18 8:53,영화 마지막 콘서트 장면은 진짜 역대급이었다. N차 관람 각.,#K팝데몬헌터스 #OST #영화리뷰,15,198,1353
데몬슬레이어,2025-08-17 15:13,신라면 툼바 만능소스? 이름은 이상한데 궁금해서 사봐야겠다.,#농심콜라보 #신라면,2973,5006,223470
KDH과몰입,2025-08-15 10:24,공식 굿즈가 없으니까 팬들이 자체제작 굿즈 만들고 있음. 이게 맞냐고.,#공식굿즈 #재고관리,109,756,8036
아이돌덕후,2025-08-14 23:39,공식 굿즈가 없으니까 팬들이 자체제작 굿즈 만들고 있음. 이게 맞냐고.,#공식굿즈 #재고관리 #넷플릭스일해라,140,192,3008
더피귀여워,2025-08-13 17:03,콜라보 새우깡 샀는데 최애 '조이' 나왔다! 오늘 운 다 썼네.,#농심콜라보 #신라면 #새우깡,54,364,8565
K컬쳐사랑해,2025-08-11 4:03,콜라보 제품 재고관리가 너무 부실함. 맨날 품절이라 구경도 못 해봤다.,#공식굿즈 #재고관리 #넷플릭스일해라,114,685,7910
더피귀여워,2025-08-10 21:37,오프닝 시퀀스 연출이랑 음악 비트 매치가 완벽해서 시작부터 소름돋음.,#K팝데몬헌터스 #OST,125,486,14478
애니메이션평론가,2025-08-10 14:41,제발... 헌트릭스 공식 앨범이랑 포토카드 좀 내주세요... 현기증 난단 말이에요.,#공식굿즈 #재고관리 #넷플릭스일해라,1717,9949,233419
미라센터기원,2025-08-10 7:10,OST 앨범 제발 내주세요... 포토카드랑 같이. 제발.,#K팝데몬헌터스 #OST,85,322,3941
K팝데몬헌터,2025-08-09 1:11,"사자보이즈 리더, 얼굴은 냉미남인데 알고보니 허당인 거 너무 웃김.",#헌트릭스 #사자보이즈,5,534,12652
K팝데몬헌터,2025-08-07 17:50,OST 앨범 제발 내주세요... 포토카드랑 같이. 제발.,#K팝데몬헌터스 #OST,2250,5411,261772
더피귀여워,2025-08-05 13:22,제발... 헌트릭스 공식 앨범이랑 포토카드 좀 내주세요... 현기증 난단 말이에요.,#공식굿즈 #재고관리,135,587,3606
데몬슬레이어,2025-08-03 13:33,넷플릭스 굿즈샵에 KDH 카테고리 만들어달라고 매일같이 문의 넣는 중.,#공식굿즈 #재고관리,32,73,566
K컬쳐사랑해,2025-08-03 2:51,아니 영화가 이렇게 떴는데 아직도 공식 응원봉 하나 없는 게 말이 됨? 넷플릭스는 일해라!,#공식굿즈 #재고관리,128,206,2747
헌트릭스오시,2025-08-01 12:54,영화관 사운드로 들으니까 음악이 진짜... K팝 아이돌 콘서트 온 줄 알았음.,#K팝데몬헌터스 #OST #영화리뷰,96,9,5026
신라면콜렉터,2025-07-31 17:30,팬들이 추측한 걸 진짜 콜라보로 연결하다니. 농심이랑 넷플릭스 일 잘하네.,#농심콜라보 #신라면 #새우깡,65,588,9771
포카만들어주세요,2025-07-29 10:12,농심 콜라보 좋다 이거야... 근데 팝업한다면서 물량을 100개만 풀면 어떡하자는 거...,#공식굿즈 #재고관리 #넷플릭스일해라,24,254,13623
사자보이즈팬,2025-07-29 5:30,제발... 헌트릭스 공식 앨범이랑 포토카드 좀 내주세요... 현기증 난단 말이에요.,#공식굿즈 #재고관리 #넷플릭스일해라,103,424,3241
헌트릭스오시,2025-07-28 2:26,내가 극중 신(神)라면이 농심 신(辛)라면일 줄 알았다니까! 콜라보 대박!,#농심콜라보 #신라면,118,28,12228
조이음색요정,2025-07-25 1:45,조이가 과거 서사 풀릴 때 오열했다... 우리 막내 행복해야 해.,#헌트릭스 #사자보이즈 #루미,17,717,11500
KDH과몰입,2025-07-23 14:05,이 인기에 공식 굿즈가 없다는 건... 팬들을 그냥 돈으로만 본다는 거 아닌가? 너무 화남.,#공식굿즈 #재고관리,74,372,2921
조이음색요정,2025-07-23 6:34,아니 영화가 이렇게 떴는데 아직도 공식 응원봉 하나 없는 게 말이 됨? 넷플릭스는 일해라!,#공식굿즈 #재고관리,118,434,8765
음원발매기원,2025-07-21 4:24,중간에 PPL 너무 노골적인 거 빼면 다 좋았음.,#K컬쳐 #세계관 #스토리,1970,11590,268404
더피귀여워,2025-07-19 17:21,악마 설정이 한국 전통 귀신들이랑 엮여서 더 흥미로웠음.,#K컬쳐 #세계관,22,774,7512
루미바라기,2025-07-19 15:46,"루미랑 미라, 룸메 조합 너무 좋다. 둘이 티키타카하는 거 보면 엄마 미소 나옴.",#헌트릭스 #사자보이즈,88,529,14438
헌트릭스오시,2025-07-19 15:12,"K팝 아이돌이 귀신 잡는다는 설정, 처음엔 유치할 줄 알았는데 보다보니 꿀잼.",#K컬쳐 #세계관,71,19,14869
K팝데몬헌터,2025-07-18 12:27,새우깡 한 박스 샀는데 미라 얼굴만 12개 나옴... 랜덤 너무 심한 거 아니냐고.,#공식굿즈 #재고관리,97,247,10552
사자보이즈팬,2025-07-13 17:40,"성우분들 연기도 좋은데, 노래는 실제 아이돌이 불렀으면 더 좋았을 것 같기도.",#K팝데몬헌터스 #OST,1396,9967,73276
KDH과몰입,2025-07-13 4:52,제발... 헌트릭스 공식 앨범이랑 포토카드 좀 내주세요... 현기증 난단 말이에요.,#공식굿즈 #재고관리 #넷플릭스일해라,2954,8067,63491
KDH과몰입,2025-07-12 17:51,공식 굿즈를 안 내주니까 비공식 굿즈 플미만 엄청 붙어서 속상함.,#공식굿즈 #재고관리,1,129,964
헌트릭스컴백좀,2025-07-10 4:10,콜라보 제품 재고관리가 너무 부실함. 맨날 품절이라 구경도 못 해봤다.,#공식굿즈 #재고관리,6,313,10441
신라면콜렉터,2025-07-09 11:56,조이가 과거 서사 풀릴 때 오열했다... 우리 막내 행복해야 해.,#헌트릭스 #사자보이즈 #루미,1509,9795,162199
조이음색요정,2025-07-06 13:46,공식 굿즈가 없으니까 팬들이 자체제작 굿즈 만들고 있음. 이게 맞냐고.,#공식굿즈 #재고관리,53,715,3617
더피귀여워,2025-07-04 1:10,영화 초반부에 나온 발라드 OST 음원 발매 시급합니다. 멜로디가 머리에서 떠나질 않아.,#K팝데몬헌터스 #OST #영화리뷰,11,326,10537
데몬슬레이어,2025-07-01 13:49,"K팝 아이돌이 귀신 잡는다는 설정, 처음엔 유치할 줄 알았는데 보다보니 꿀잼.",#K컬쳐 #세계관,44,217,5799
애니메이션평론가,2025-07-01 2:00,제발... 헌트릭스 공식 앨범이랑 포토카드 좀 내주세요... 현기증 난단 말이에요.,#공식굿즈 #재고관리,42,142,14428
신라면콜렉터,2025-06-29 6:49,영화관 사운드로 들으니까 음악이 진짜... K팝 아이돌 콘서트 온 줄 알았음.,#K팝데몬헌터스 #OST #영화리뷰,129,264,9493
포카만들어주세요,2025-06-27 16:13,콜라보 새우깡 샀는데 최애 '조이' 나왔다! 오늘 운 다 썼네.,#농심콜라보 #신라면,122,114,13725
넷플릭스중독자,2025-06-27 3:43,넷플릭스 굿즈샵에 KDH 카테고리 만들어달라고 매일같이 문의 넣는 중.,#공식굿즈 #재고관리,138,782,6247
음원발매기원,2025-06-27 1:12,콜라보 새우깡 샀는데 최애 '조이' 나왔다! 오늘 운 다 썼네.,#농심콜라보 #신라면 #새우깡,103,259,5219
아이돌덕후,2025-06-25 21:12,연습생 시절 서사 좀만 더 풀어줬으면 좋겠다. 데뷔 과정이 너무 짧게 나옴.,#K컬쳐 #세계관,118,59,14919
음원발매기원,2025-06-25 8:53,영화관 사운드로 들으니까 음악이 진짜... K팝 아이돌 콘서트 온 줄 알았음.,#K팝데몬헌터스 #OST #영화리뷰,104,473,8363
K컬쳐사랑해,2025-06-22 22:20,내가 극중 신(神)라면이 농심 신(辛)라면일 줄 알았다니까! 콜라보 대박!,#농심콜라보 #신라면 #새우깡,103,530,9344
공식굿즈존버단,2025-06-21 4:59,"영상미, 음악 다 좋은데... 러닝타임이 좀 짧아서 아쉬웠음. 2시간은 넘었어야지.",#K팝데몬헌터스 #OST,12,135,12200
헌트릭스오시,2025-06-20 20:50,"안무가 실제 K팝 안무가가 참여했다던데, 그래서 그런지 퀄리티가 다르네.",#K팝데몬헌터스 #OST #영화리뷰,118,276,12197
아이돌덕후,2025-06-19 19:18,영화 마지막 콘서트 장면은 진짜 역대급이었다. N차 관람 각.,#K팝데몬헌터스 #OST #영화리뷰,80,525,14968
루미바라기,2025-06-16 10:23,콜라보 제품 재고관리가 너무 부실함. 맨날 품절이라 구경도 못 해봤다.,#공식굿즈 #재고관리,10,361,14716
넷플릭스중독자,2025-06-15 4:23,영화에 나온 컵라면 디자인 그대로 한정 출시한다는데... 이건 무조건 산다.,#농심콜라보 #신라면 #새우깡,9,2,1695
미라센터기원,2025-06-15 4:07,"영화에 나온 안무, 벌써 틱톡 챌린지로 유행 중 ㅋㅋㅋ.",#K팝데몬헌터스 #OST,133,795,8572
헌트릭스오시,2025-06-12 9:29,이 인기에 공식 굿즈가 없다는 건... 팬들을 그냥 돈으로만 본다는 거 아닌가? 너무 화남.,#공식굿즈 #재고관리 #넷플릭스일해라,79,579,1901
조이음색요정,2025-06-10 14:16,"성우분들 연기도 좋은데, 노래는 실제 아이돌이 불렀으면 더 좋았을 것 같기도.",#K팝데몬헌터스 #OST #영화리뷰,11,354,8751
애니메이션평론가,2025-06-08 22:49,영화 초반부에 나온 발라드 OST 음원 발매 시급합니다. 멜로디가 머리에서 떠나질 않아.,#K팝데몬헌터스 #OST #영화리뷰,2571,7131,235836
사자보이즈팬,2025-06-03 18:02,헌트릭스 세계관 최강자. K팝으로 악마 때려잡는 아이돌이라니.,#헌트릭스 #사자보이즈,103,439,10325
헌트릭스오시,2025-06-01 2:28,콜라보 제품 재고관리가 너무 부실함. 맨날 품절이라 구경도 못 해봤다.,#공식굿즈 #재고관리,12,258,8454
KDH과몰입,2025-09-03 12:59,헌트릭스 리더 루미 카리스마 미쳤다... 무대 위랑 아래 갭차이 사랑해.,#헌트릭스 #사자보이즈,54,450,12323
포카만들어주세요,2025-09-03 12:48,공식 굿즈가 없으니까 팬들이 자체제작 굿즈 만들고 있음. 이게 맞냐고.,#공식굿즈 #재고관리,123,93,11621
헌트릭스컴백좀,2025-09-03 12:34,넷플릭스 굿즈샵에 KDH 카테고리 만들어달라고 매일같이 문의 넣는 중.,#공식굿즈 #재고관리,21,748,3725
조이음색요정,2025-09-03 12:12,콜라보 제품 재고관리가 너무 부실함. 맨날 품절이라 구경도 못 해봤다.,#공식굿즈 #재고관리 #넷플릭스일해라,94,609,850
데몬슬레이어,2025-09-02 22:19,오프닝 시퀀스 연출이랑 음악 비트 매치가 완벽해서 시작부터 소름돋음.,#K팝데몬헌터스 #OST,132,570,4191
K팝데몬헌터,2025-09-02 21:22,영화 마지막 콘서트 장면은 진짜 역대급이었다. N차 관람 각.,#K팝데몬헌터스 #OST #영화리뷰,96,84,464
KDH과몰입,2025-09-02 17:44,"성우분들 연기도 좋은데, 노래는 실제 아이돌이 불렀으면 더 좋았을 것 같기도.",#K팝데몬헌터스 #OST #영화리뷰,47,758,333
음원발매기원,2025-09-02 12:34,"K팝 아이돌이 귀신 잡는다는 설정, 처음엔 유치할 줄 알았는데 보다보니 꿀잼.",#K컬쳐 #세계관 #스토리,23,259,10035
조이음색요정,2025-09-02 12:11,"안무가 실제 K팝 안무가가 참여했다던데, 그래서 그런지 퀄리티가 다르네.",#K팝데몬헌터스 #OST #영화리뷰,8,158,8248
조이음색요정,2025-09-02 11:06,영화 마지막에 나온 쿠키 영상... 이건 속편 제작 확정이지? ㅠㅠ,#K컬쳐 #세계관,75,461,1378
KDH과몰입,2025-09-02 10:04,"안무가 실제 K팝 안무가가 참여했다던데, 그래서 그런지 퀄리티가 다르네.",#K팝데몬헌터스 #OST,43,322,10898
데몬슬레이어,2025-09-02 7:18,신라면 툼바 만능소스? 이름은 이상한데 궁금해서 사봐야겠다.,#농심콜라보 #신라면,71,501,5430
아이돌덕후,2025-09-02 5:48,신라면 툼바 만능소스? 이름은 이상한데 궁금해서 사봐야겠다.,#농심콜라보 #신라면,84,35,14016
루미바라기,2025-09-02 2:11,"루미랑 미라, 룸메 조합 너무 좋다. 둘이 티키타카하는 거 보면 엄마 미소 나옴.",#헌트릭스 #사자보이즈,23,116,14890
더피귀여워,2025-09-02 1:48,새우깡 한 박스 샀는데 미라 얼굴만 12개 나옴... 랜덤 너무 심한 거 아니냐고.,#공식굿즈 #재고관리,31,697,9440
KDH과몰입,2025-09-01 20:30,조이가 과거 서사 풀릴 때 오열했다... 우리 막내 행복해야 해.,#헌트릭스 #사자보이즈,6,1,12099
K컬쳐사랑해,2025-09-01 20:10,"사자보이즈 리더, 얼굴은 냉미남인데 알고보니 허당인 거 너무 웃김.",#헌트릭스 #사자보이즈,83,628,2543
KDH과몰입,2025-09-01 17:32,영화 마지막 콘서트 장면은 진짜 역대급이었다. N차 관람 각.,#K팝데몬헌터스 #OST,132,414,6073
조이음색요정,2025-09-01 11:48,새우깡에 헌트릭스 얼굴이라니... 이건 못 참지. 당장 사러 간다.,#농심콜라보 #신라면,124,548,6496
신라면콜렉터,2025-09-01 9:02,OST 앨범 제발 내주세요... 포토카드랑 같이. 제발.,#K팝데몬헌터스 #OST #영화리뷰,0,662,13933
아이돌덕후,2025-09-01 5:26,"루미랑 미라, 룸메 조합 너무 좋다. 둘이 티키타카하는 거 보면 엄마 미소 나옴.",#헌트릭스 #사자보이즈 #루미,50,44,6303
조이음색요정,2025-08-31 17:28,제발... 헌트릭스 공식 앨범이랑 포토카드 좀 내주세요... 현기증 난단 말이에요.,#공식굿즈 #재고관리,1898,5552,162066
신라면콜렉터,2025-08-31 11:52,중간에 PPL 너무 노골적인 거 빼면 다 좋았음.,#K컬쳐 #세계관 #스토리,109,37,14387
공식굿즈존버단,2025-08-31 6:12,영화관 사운드로 들으니까 음악이 진짜... K팝 아이돌 콘서트 온 줄 알았음.,#K팝데몬헌터스 #OST,131,519,2149
데몬슬레이어,2025-08-30 6:03,농심... 다음 콜라보는 헌트릭스 포토카드 넣어주는 거죠? 믿습니다.,#농심콜라보 #신라면 #새우깡,112,706,7360
음원발매기원,2025-08-29 21:33,OST 앨범 제발 내주세요... 포토카드랑 같이. 제발.,#K팝데몬헌터스 #OST #영화리뷰,8,386,14396
데몬슬레이어,2025-08-29 19:42,콜라보 제품 재고관리가 너무 부실함. 맨날 품절이라 구경도 못 해봤다.,#공식굿즈 #재고관리,148,4,12350
애니메이션평론가,2025-08-29 10:08,"극중에 나온 떡볶이, 라면, 치킨 보니까 야식 땡겨 죽겠다. K푸드 묘사 완벽.",#K컬쳐 #세계관 #스토리,80,585,11783
애니메이션평론가,2025-08-28 15:55,"성우분들 연기도 좋은데, 노래는 실제 아이돌이 불렀으면 더 좋았을 것 같기도.",#K팝데몬헌터스 #OST,16,772,4349
공식굿즈존버단,2025-08-28 11:35,공식 굿즈를 안 내주니까 비공식 굿즈 플미만 엄청 붙어서 속상함.,#공식굿즈 #재고관리 #넷플릭스일해라,577,2775,157072
데몬슬레이어,2025-08-28 10:07,농심 콜라보 좋다 이거야... 근데 팝업한다면서 물량을 100개만 풀면 어떡하자는 거...,#공식굿즈 #재고관리 #넷플릭스일해라,105,294,12614
신라면콜렉터,2025-08-28 0:22,"영화에 나온 안무, 벌써 틱톡 챌린지로 유행 중 ㅋㅋㅋ.",#K팝데몬헌터스 #OST,126,400,6869
새우깡빌런,2025-08-27 7:56,콜라보 새우깡 샀는데 최애 '조이' 나왔다! 오늘 운 다 썼네.,#농심콜라보 #신라면 #새우깡,2078,2593,108210
루미바라기,2025-08-27 3:06,OST 앨범 제발 내주세요... 포토카드랑 같이. 제발.,#K팝데몬헌터스 #OST #영화리뷰,140,14,13159
음원발매기원,2025-08-26 14:04,새우깡에 헌트릭스 얼굴이라니... 이건 못 참지. 당장 사러 간다.,#농심콜라보 #신라면,13,230,657
헌트릭스오시,2025-08-26 6:59,영화관 사운드로 들으니까 음악이 진짜... K팝 아이돌 콘서트 온 줄 알았음.,#K팝데몬헌터스 #OST,71,85,7701
농심콜라보헌터,2025-08-25 22:00,콜라보 새우깡 샀는데 최애 '조이' 나왔다! 오늘 운 다 썼네.,#농심콜라보 #신라면 #새우깡,70,281,7157
K팝데몬헌터,2025-08-25 14:43,"K팝 아이돌이 귀신 잡는다는 설정, 처음엔 유치할 줄 알았는데 보다보니 꿀잼.",#K컬쳐 #세계관,74,575,1534
공식굿즈존버단,2025-08-24 11:11,이 인기에 공식 굿즈가 없다는 건... 팬들을 그냥 돈으로만 본다는 거 아닌가? 너무 화남.,#공식굿즈 #재고관리,43,459,652
음원발매기원,2025-08-23 13:56,새우깡 한 박스 샀는데 미라 얼굴만 12개 나옴... 랜덤 너무 심한 거 아니냐고.,#공식굿즈 #재고관리 #넷플릭스일해라,141,105,11426
KDH과몰입,2025-08-23 3:36,농심 콜라보 신라면 우리 동네는 들어오자마자 품절이네. 재고 좀 많이 풀어주세요!,#농심콜라보 #신라면 #새우깡,120,595,3138
헌트릭스컴백좀,2025-08-22 19:36,제발... 헌트릭스 공식 앨범이랑 포토카드 좀 내주세요... 현기증 난단 말이에요.,#공식굿즈 #재고관리,13,265,11024
K컬쳐사랑해,2025-08-22 9:26,공식 굿즈를 안 내주니까 비공식 굿즈 플미만 엄청 붙어서 속상함.,#공식굿즈 #재고관리 #넷플릭스일해라,19,48,3381
농심콜라보헌터,2025-08-20 1:58,팬들이 추측한 걸 진짜 콜라보로 연결하다니. 농심이랑 넷플릭스 일 잘하네.,#농심콜라보 #신라면,27,13,2343
사자보이즈팬,2025-08-20 1:05,"루미랑 미라, 룸메 조합 너무 좋다. 둘이 티키타카하는 거 보면 엄마 미소 나옴.",#헌트릭스 #사자보이즈 #루미,88,668,9329
신라면콜렉터,2025-08-19 1:55,조이가 과거 서사 풀릴 때 오열했다... 우리 막내 행복해야 해.,#헌트릭스 #사자보이즈 #루미,2,128,4236
데몬슬레이어,2025-08-18 18:57,새우깡 한 박스 샀는데 미라 얼굴만 12개 나옴... 랜덤 너무 심한 거 아니냐고.,#공식굿즈 #재고관리 #넷플릭스일해라,124,72,10348
애니메이션평론가,2025-08-18 3:25,"영화에 나온 안무, 벌써 틱톡 챌린지로 유행 중 ㅋㅋㅋ.",#K팝데몬헌터스 #OST,15,669,1426
농심콜라보헌터,2025-08-17 21:17,영화관 사운드로 들으니까 음악이 진짜... K팝 아이돌 콘서트 온 줄 알았음.,#K팝데몬헌터스 #OST,112,532,6542
조이음색요정,2025-08-17 7:11,"전투씬에 EDM 비트 깔리는 거, 신의 한 수. 영화관 전체가 들썩이는 기분.",#K팝데몬헌터스 #OST #영화리뷰,93,745,12750
더피귀여워,2025-08-17 3:32,새우깡 한 박스 샀는데 미라 얼굴만 12개 나옴... 랜덤 너무 심한 거 아니냐고.,#공식굿즈 #재고관리,143,308,2077
루미바라기,2025-08-13 1:27,"안무가 실제 K팝 안무가가 참여했다던데, 그래서 그런지 퀄리티가 다르네.",#K팝데몬헌터스 #OST,11,497,3143
헌트릭스오시,2025-08-12 22:01,영화 초반부에 나온 발라드 OST 음원 발매 시급합니다. 멜로디가 머리에서 떠나질 않아.,#K팝데몬헌터스 #OST #영화리뷰,53,93,12952
K팝데몬헌터,2025-08-12 16:24,오프닝 시퀀스 연출이랑 음악 비트 매치가 완벽해서 시작부터 소름돋음.,#K팝데몬헌터스 #OST,136,350,12797
